Input voltage [V]    Input voltage [V]     Output Voltage [V]    Maximum error [V]   Maximum error [V]   Maximum error [V]
  Wavetek 9100        Agilent 34410A         Agilent 3458A         Wavetek 9100       Agilent 34410A      Agilent 3458A 
  9.80000000          9.80122033             6.080221e-02          5.840000e-03       8.880732e-03        6.256155e-06
  9.82500000          9.82626101             6.095322e-02          5.850000e-03       8.895757e-03        6.266725e-06
  9.85000000          9.85109964             6.110925e-02          5.860000e-03       8.910660e-03        6.277647e-06
  9.87500000          9.87614011             6.126924e-02          5.870000e-03       8.925684e-03        6.288847e-06
  9.90000000          9.90119973             6.142428e-02          5.880000e-03       8.940720e-03        6.299700e-06
  9.92500000          9.92609482             6.157537e-02          5.890000e-03       8.955657e-03        6.310276e-06
  9.95000000          9.95099369             6.173276e-02          5.900000e-03       8.970596e-03        6.321293e-06
  9.97500000          9.97612807             6.188944e-02          5.910000e-03       8.985677e-03        6.332261e-06
 10.00000000         10.00113850             6.204087e-02          5.920000e-03       3.600068e-02        6.342861e-06
 10.02500000         10.02625700             6.219918e-02          5.930000e-03       3.601575e-02        6.353943e-06
 10.05000000         10.05131120             6.235003e-02          5.940000e-03       3.603079e-02        6.364502e-06
 10.07500000         10.07622240             6.250694e-02          5.950000e-03       3.604573e-02        6.375486e-06
 10.10000000         10.10112460             6.265578e-02          5.960000e-03       3.606067e-02        6.385904e-06
 10.12500000         10.12633000             6.282212e-02          5.970000e-03       3.607580e-02        6.397548e-06
 10.15000000         10.15099320             6.297041e-02          5.980000e-03       3.609060e-02        6.407929e-06
 10.17500000         10.17603270             6.312301e-02          5.990000e-03       3.610562e-02        6.418610e-06
 10.20000000         10.20125130             6.328461e-02          6.000000e-03       3.612075e-02        6.429922e-06
 10.22500000         10.22623150             6.343889e-02          6.010000e-03       3.613574e-02        6.440722e-06
 10.25000000         10.25111320             6.359314e-02          6.020000e-03       3.615067e-02        6.451520e-06
 10.27500000         10.27616720             6.374452e-02          6.030000e-03       3.616570e-02        6.462116e-06
 10.30000000         10.30122640             6.390440e-02          6.040000e-03       3.618074e-02        6.473308e-06
 10.32500000         10.32609930             6.405999e-02          6.050000e-03       3.619566e-02        6.484199e-06
 10.35000000         10.35121270             6.421527e-02          6.060000e-03       3.621073e-02        6.495069e-06
 10.37500000         10.37625350             6.437066e-02          6.070000e-03       3.622575e-02        6.505946e-06
 10.40000000         10.40129690             6.452363e-02          6.080000e-03       3.624078e-02        6.516654e-06
 10.42500000         10.42610920             6.467858e-02          6.090000e-03       3.625567e-02        6.527500e-06
 10.45000000         10.45121630             6.483718e-02          6.100000e-03       3.627073e-02        6.538603e-06
 10.47500000         10.47630200             6.498843e-02          6.110000e-03       3.628578e-02        6.549190e-06
 10.50000000         10.50128770             6.514675e-02          6.120000e-03       3.630077e-02        6.560273e-06
 10.52500000         10.52619460             6.529910e-02          6.130000e-03       3.631572e-02        6.570937e-06
 10.55000000         10.55119640             6.545605e-02          6.140000e-03       3.633072e-02        6.581923e-06
 10.57500000         10.57631130             6.561324e-02          6.150000e-03       3.634579e-02        6.592927e-06
 10.60000000         10.60141150             6.576906e-02          6.160000e-03       3.636085e-02        6.603835e-06
 10.62500000         10.62637360             6.592131e-02          6.170000e-03       3.637582e-02        6.614492e-06
 10.65000000         10.65113230             6.607659e-02          6.180000e-03       3.639068e-02        6.625361e-06
 10.67500000         10.67604110             6.623109e-02          6.190000e-03       3.640562e-02        6.636177e-06
 10.70000000         10.70131010             6.638564e-02          6.200000e-03       3.642079e-02        6.646995e-06
 10.72500000         10.72612890             6.654488e-02          6.210000e-03       3.643568e-02        6.658141e-06
 10.75000000         10.75113950             6.669911e-02          6.220000e-03       3.645068e-02        6.668938e-06
 10.77500000         10.77603240             6.685121e-02          6.230000e-03       3.646562e-02        6.679585e-06
 10.80000000         10.80114150             6.700619e-02          6.240000e-03       3.648068e-02        6.690433e-06
 10.82500000         10.82624330             6.716237e-02          6.250000e-03       3.649575e-02        6.701366e-06
 10.85000000         10.85130460             6.732161e-02          6.260000e-03       3.651078e-02        6.712513e-06
 10.87500000         10.87626400             6.747404e-02          6.270000e-03       3.652576e-02        6.723183e-06
 10.90000000         10.90131220             6.762706e-02          6.280000e-03       3.654079e-02        6.733894e-06
 10.92500000         10.92625190             6.778465e-02          6.290000e-03       3.655575e-02        6.744925e-06
 10.95000000         10.95128820             6.794194e-02          6.300000e-03       3.657077e-02        6.755936e-06
 10.97500000         10.97623260             6.809455e-02          6.310000e-03       3.658574e-02        6.766619e-06
 11.00000000         11.00124340             6.824882e-02          6.320000e-03       3.660075e-02        6.777417e-06
 11.02500000         11.02614920             6.840655e-02          6.330000e-03       3.661569e-02        6.788459e-06
 11.05000000         11.05125570             6.856019e-02          6.340000e-03       3.663075e-02        6.799213e-06
 11.07500000         11.07611960             6.871403e-02          6.350000e-03       3.664567e-02        6.809982e-06
 11.10000000         11.10135100             6.886830e-02          6.360000e-03       3.666081e-02        6.820781e-06
 11.12500000         11.12630230             6.902475e-02          6.370000e-03       3.667578e-02        6.831732e-06
 11.15000000         11.15135550             6.918480e-02          6.380000e-03       3.669081e-02        6.842936e-06
 11.17500000         11.17626960             6.933628e-02          6.390000e-03       3.670576e-02        6.853540e-06
 11.20000000         11.20108560             6.948848e-02          6.400000e-03       3.672065e-02        6.864193e-06
 11.22500000         11.22623120             6.964780e-02          6.410000e-03       3.673574e-02        6.875346e-06
 11.25000000         11.25125020             6.980074e-02          6.420000e-03       3.675075e-02        6.886052e-06
 11.27500000         11.27633970             6.995667e-02          6.430000e-03       3.676580e-02        6.896967e-06
 11.30000000         11.30123290             7.011543e-02          6.440000e-03       3.678074e-02        6.908080e-06
 11.32500000         11.32610960             7.027045e-02          6.450000e-03       3.679567e-02        6.918931e-06
 11.35000000         11.35138590             7.042375e-02          6.460000e-03       3.681083e-02        6.929663e-06
 11.37500000         11.37628140             7.057678e-02          6.470000e-03       3.682577e-02        6.940374e-06
 11.40000000         11.40125440             7.073294e-02          6.480000e-03       3.684075e-02        6.951306e-06
 11.42500000         11.42629870             7.088516e-02          6.490000e-03       3.685578e-02        6.961961e-06
 11.45000000         11.45122790             7.104689e-02          6.500000e-03       3.687074e-02        6.973282e-06
 11.47500000         11.47646680             7.119879e-02          6.510000e-03       3.688588e-02        6.983916e-06
 11.50000000         11.50119280             7.135299e-02          6.520000e-03       3.690072e-02        6.994709e-06
